waste,resource
Waste heat,Process heat
Waste heat,Process heat
Steam,Process heat
Waste heat,Process heat
Vapour and demineralised water,Process heat
Mill scales,Raw material for Cement production
Demineralised water,Water
BFS,Fertiliser
BFS,Raw material for Glass and glass-ceramic production
BFS,Removal or retention of phosphorous from wastewater
BFS/BOSF,Raw material for Marine embarkments
BFS,Raw material for Production of bricks
BOFS as aggregate,Raw material for Production of concrete
BFS,Raw material for Production of refractories
Refractories,Raw materials
BOSF,Paving
BFS/BOSF,Road foundations
BFS,Raw material for Rock wool production
Mill scales,Raw material for Steelworks
Waste coolant,Cooling
Marc and dregs,Raw material for Distilleries
